ABloss,Bobloss,Eveloss
8.864609,8.736267527507152,9.395676
8.692394,8.550789091037586,9.382928
8.5788145,8.45535369584104,9.331517
8.61061,8.489473253313918,9.295502
8.496982,8.392208088422194,9.4343605
8.526516,8.41490106319543,9.27859
8.602378,8.507439793029334,9.383923
8.502452,8.401053015841171,9.413072
8.497153,8.390322600724176,9.220869
8.484452,8.38840187661117,9.400948
8.415341,8.332694320066366,9.346781
8.412415,8.32692423305707,9.404436
8.408831,8.326964014733676,9.2893715
8.436122,8.344113543629646,9.403673
8.4278965,8.343817749351729,9.447237
8.412392,8.325759784027468,9.437193
8.389694,8.286920272512361,9.417443
8.410691,8.340001520409714,9.438953
8.356847,8.271780846233014,9.438957
8.350239,8.269062292354647,9.511021
8.2932415,8.202705744712148,9.425367
8.31703,8.240409871505108,9.456874
8.312309,8.22173533111345,9.380623
8.395733,8.316012618190143,9.378321
8.290177,8.207194434595294,9.326309
8.349336,8.263036742748227,9.358
8.32287,8.24489897605963,9.419869
8.362016,8.282034404575825,9.340237
8.276272,8.192218301410321,9.494759
8.319975,8.237392324313987,9.360983
8.207502,8.115490761701949,9.41673
8.177798,8.100550755101722,9.330526
8.295201,8.215956777741667,9.472929
8.201831,8.107137449434958,9.497303
8.269724,8.195472045394126,9.423033
8.290569,8.211818550247699,9.406776
8.221556,8.139194659073837,9.403091
8.27044,8.188415970944334,9.4881315
8.272669,8.203782322176266,9.367594
8.232988,8.150864363415167,9.443275
8.304051,8.21560881176265,9.523106
8.220564,8.136467230622657,9.4154415
8.257499,8.18315995845478,9.476508
8.239139,8.175038705696352,9.4609585
8.196515,8.112926341127604,9.378534
8.154633,8.071445516834501,9.40955
8.260137,8.187528077396564,9.396125
8.182178,8.101641289424151,9.482134
8.293031,8.211632959602866,9.548473
8.312301,8.2337097118143,9.592843
8.241554,8.164613568631466,9.496475
8.264271,8.184877669496927,9.582582
8.371351,8.30355968506774,9.473778
8.254907,8.183449210133404,9.452633
8.2359085,8.16182837181259,9.436795
8.184752,8.105649599456228,9.504843
8.349597,8.262416783371009,9.526342
8.304926,8.223518739803694,9.386516
8.268499,8.194251433422323,9.456682
8.175115,8.102334431023337,9.363999
8.238752,8.163252607919276,9.457998
8.232796,8.15838936669752,9.536909
8.172585,8.088428960472811,9.447157
8.141011,8.068662402685732,9.483602
8.160364,8.086067401396576,9.392746
8.306357,8.226116165984422,9.412124
8.182776,8.101171798596624,9.449667
8.244027,8.171751820365898,9.52515
8.1980715,8.126356218126602,9.490736
8.237207,8.15878915565554,9.385316
8.210529,8.138854883320164,9.560577
8.137569,8.067357045423705,9.430201
8.17448,8.100906095583923,9.377413
8.349792,8.277964034350589,9.433569
8.144854,8.064920389733743,9.445589
8.221315,8.145200039027259,9.387606
8.149616,8.060947620891966,9.409629
8.232136,8.155785794660915,9.459934
8.179404,8.103985800058581,9.432318
8.273306,8.203663428954314,9.528667
8.103766,8.033040069334675,9.520418
8.227231,8.147931999061257,9.437943
8.053813,7.983703720266931,9.483897
8.18291,8.111985728435684,9.511097
8.30103,8.222762127581518,9.478565
8.220435,8.143972235906404,9.448077
8.195797,8.124070530990139,9.525224
8.126142,8.044853129133116,9.300833
8.061059,7.976649463642389,9.355862
8.166449,8.090828105225228,9.534548
8.252345,8.175733915821183,9.56093
8.257837,8.179205098829698,9.379856
8.262008,8.19046367390547,9.41592
8.14498,8.065126829955261,9.49745
8.144314,8.062847393681295,9.435163
8.263509,8.185382576542906,9.51601
8.162366,8.081779751111753,9.571495
8.138011,8.05506606749259,9.493828
8.117907,8.035455882840324,9.523996
8.285394,8.214123117737472,9.505543
8.184502,8.112067521899007,9.406359
8.197127,8.122691274271347,9.491037
8.14163,8.07178801932605,9.354779
8.1774845,8.103610414720606,9.4922905
