ABloss,Bobloss,Eveloss
8.917506,8.740034440765157,9.167699
8.716175,8.540127873362508,9.080999
8.56164,8.398468102270272,9.044303
8.555468,8.40791881561745,8.947985
8.405672,8.268938245193567,9.104908
8.416643,8.294778473849874,8.98811
8.49948,8.39876051072497,9.099523
8.402208,8.304189005692024,9.106867
8.388359,8.29420835210476,8.914015
8.384085,8.291740167536773,9.080397
8.306373,8.210114479705226,9.064512
8.312681,8.212208663520869,9.1150875
8.305453,8.20617078221403,9.01663
8.303263,8.206009902060032,9.125425
8.31913,8.221055238856934,9.067982
8.298701,8.204643196193501,9.093679
8.262415,8.169161946687382,9.111863
8.305336,8.21581099339528,9.172005
8.235853,8.145949381869286,9.182446
8.23136,8.142920853220858,9.248692
8.160663,8.07048586156452,9.175155
8.195801,8.108457117981743,9.17495
8.184933,8.09814138483489,9.13719
8.267391,8.182399198121857,9.160227
8.161583,8.074158990755677,9.078761
8.227094,8.14035637449706,9.139114
8.217582,8.130071308696643,9.229105
8.24529,8.159321799466852,9.07731
8.157166,8.069804199098144,9.30637
8.19824,8.11291690217331,9.138893
8.0822525,7.995396227459423,9.188246
8.060921,7.974967893504072,9.160482
8.186205,8.103779280325398,9.292732
8.086649,8.002070141315926,9.278945
8.166236,8.082403549691662,9.179218
8.180562,8.098102533025667,9.176445
8.128454,8.043392711202614,9.184586
8.169122,8.086070945719257,9.304322
8.174575,8.09185784024885,9.11091
8.123902,8.040301716537215,9.204148
8.202407,8.120593154861126,9.2678585
8.123144,8.04001173604047,9.143486
8.172011,8.090333962347358,9.232367
8.158845,8.077173616737127,9.237996
8.1001215,8.017744384240359,9.161807
8.0592375,7.975871838687453,9.217834
8.185751,8.105168619484175,9.135488
8.097201,8.015099986107089,9.253742
8.210657,8.129784471646417,9.346557
8.234994,8.15425868582679,9.41349
8.16489,8.083313562558033,9.2951
8.187954,8.10767449263949,9.361572
8.302596,8.224389673268888,9.302067
8.20013,8.119679644936696,9.265979
8.1682205,8.087127813545521,9.168799
8.113868,8.031826916441787,9.291809
8.27808,8.199925945140421,9.302065
8.246486,8.166783516702708,9.23583
8.202279,8.123519917717203,9.249966
8.101238,8.019528304052074,9.22563
8.177717,8.09741032414604,9.259445
8.1718855,8.091178041009698,9.303293
8.114289,8.031376836413983,9.224983
8.080616,7.997932647529524,9.237425
8.10447,8.023474700632505,9.133533
8.244718,8.165565331466496,9.227169
8.133493,8.051751639752183,9.234859
8.183726,8.103855204593856,9.303487
8.146218,8.065621460264083,9.2760315
8.181246,8.100878646422643,9.180472
8.159327,8.079025816579815,9.356703
8.082247,8.000311119481921,9.245634
8.115259,8.034543107904028,9.151731
8.307748,8.231131068430841,9.231725
8.097221,8.015334070718382,9.1846285
8.177614,8.09817274386296,9.195322
8.085793,8.003380118287168,9.2006645
8.188198,8.107950786943547,9.232917
8.148636,8.068716299545486,9.231758
8.232271,8.154042289417703,9.366766
8.0629835,7.980571846128441,9.297831
8.182642,8.102227927767672,9.266522
8.019124,7.936633200617507,9.310308
8.147641,8.066886775486637,9.311162
8.250002,8.173410577932373,9.294353
8.187569,8.108364845975302,9.263582
8.158986,8.079508401278872,9.343451
8.093061,8.012306770775467,9.149336
8.018933,7.9359858620446175,9.205589
8.126343,8.045859483245295,9.364275
8.215478,8.138257645710837,9.403678
8.225366,8.14717071747873,9.228043
8.227446,8.149519144091755,9.263065
8.107176,8.02808301645564,9.329821
8.108284,8.027422297222074,9.247124
8.229053,8.152666477835737,9.363712
8.128955,8.049346943444107,9.395429
8.09285,8.01290176762268,9.3560505
8.082426,8.002112565212883,9.332067
8.256787,8.180504270771053,9.358526
8.164047,8.085284320928622,9.266043
8.165767,8.088405233167578,9.387722
8.111126,8.031677169667091,9.268366
8.149414,8.070369689085055,9.344337
8.088017,8.008586746582296,9.371585
8.1843405,8.104878663027193,9.416563
8.159549,8.081384325458203,9.31594
8.080299,7.999209989153314,9.381899
8.168294,8.089895654586144,9.252519
8.083062,8.003880360338371,9.346258
8.08978,8.010152769158594,9.417922
8.070566,7.990713004488498,9.370996
8.063387,7.983551906247158,9.371427
8.152062,8.073191913077608,9.268879
8.219809,8.142535395687446,9.342558
8.170804,8.092658373876475,9.333862
8.138427,8.059532224549912,9.312497
8.104329,8.025027756812051,9.244539
8.173273,8.095775452966336,9.292948
8.139598,8.061741917219479,9.292738
8.171401,8.093940379098058,9.325551
8.105313,8.0259195966064,9.214157
8.177803,8.100102311815135,9.26495
8.152648,8.074863411835395,9.403777
8.149154,8.070774528256152,9.361332
8.264853,8.189582295657601,9.413658
8.128409,8.049316057236865,9.34203
8.130223,8.052588739665225,9.352106
8.266869,8.19136649533175,9.403416
8.174728,8.09772280458128,9.396423
8.132558,8.054702587600332,9.403311
8.215602,8.139361188863404,9.297947
8.111422,8.031445825239643,9.280464
8.141014,8.063295115134679,9.222973
8.094139,8.01543971063802,9.35238
8.137147,8.059190816013142,9.337052
8.126867,8.04851808125386,9.267725
8.133822,8.056835264142137,9.350208
8.117876,8.039194695476908,9.382171
8.145945,8.06697424716549,9.361082
8.210343,8.13503461482469,9.359306
8.157221,8.07993630936835,9.3245735
8.234324,8.158187416789588,9.384571
8.180922,8.104691696062218,9.336938
8.082428,8.00408650765894,9.324737
8.106945,8.029573158186395,9.405771
8.062352,7.983286853006575,9.450065
8.241572,8.167098263336811,9.410364
8.118531,8.04067990387557,9.35814
8.168429,8.092056113353465,9.287025
8.113092,8.035504717903677,9.375037
8.203882,8.128362626885064,9.36136
8.098841,8.019506918091793,9.2952
8.170474,8.093683632207103,9.348636
8.121833,8.043309483444318,9.395527
8.202009,8.126032930624206,9.393548
8.137963,8.060269565728959,9.341911
