ABloss,Bobloss,Eveloss
9.204874,8.991883190232329,8.887891
8.985311,8.785093842365313,8.864019
8.831487,8.651820388971828,8.807563
8.803682,8.634423557319678,8.7455845
8.679017,8.517432176449802,8.899633
8.652747,8.506786204234231,8.751994
8.720103,8.583054450864438,8.886712
8.571794,8.440153485746123,8.90515
8.528352,8.402723144623451,8.704803
8.517106,8.398117674689274,8.889624
8.424491,8.31205842451891,8.831532
8.413499,8.310545924352482,8.905159
8.4051,8.309259187895805,8.780428
8.416496,8.319905808020849,8.880467
8.410024,8.312156197091099,8.901567
8.404047,8.305499883193988,8.891412
8.395287,8.293056152644567,8.922342
8.41126,8.310423208633438,8.932718
8.339947,8.237255809770431,8.917946
8.3500595,8.250305782014038,8.98175
8.269108,8.170635102316737,8.90777
8.321487,8.223104600445367,8.92206
8.288842,8.193393820896745,8.836163
8.3490505,8.255973807070404,8.88447
8.253451,8.158063089707866,8.812466
8.325086,8.229502217436675,8.847282
8.291763,8.197084071056452,8.898527
8.34191,8.24658892385196,8.812927
8.248505,8.154529993596952,8.979391
8.287877,8.195862852910068,8.868712
8.189722,8.0942321055918,8.898617
8.165658,8.070739845570643,8.847444
8.280865,8.188894972437993,8.949017
8.200636,8.10558334121015,8.956553
8.249327,8.154745683597866,8.900845
8.264577,8.172553639335092,8.859022
8.217535,8.122759438760113,8.847866
8.25675,8.163552403391805,8.956764
8.264848,8.1705713198171,8.820498
8.209141,8.114535549597349,8.89743
8.288806,8.197413809481077,8.925353
8.218053,8.12302001088392,8.83842
8.243738,8.153150413301773,8.887503
8.249848,8.158003676624503,8.8826275
8.176164,8.085014957294334,8.8017
8.144634,8.050671737117227,8.813218
8.261632,8.172399306029547,8.807779
8.17803,8.086572707863525,8.886259
8.281132,8.189106833131518,8.979891
8.298361,8.209985235356726,9.043463
8.2374525,8.146607254690025,8.9142
8.256303,8.167256192478817,9.002203
8.367799,8.279758041258901,8.930031
8.258179,8.168934659275692,8.908892
8.222225,8.133577238942962,8.864522
8.186744,8.09536620019935,8.950623
8.325814,8.240814596123528,8.93495
8.293584,8.205695554206613,8.88008
8.261534,8.17288729530992,8.940911
8.173101,8.083823917957488,8.842373
8.226794,8.13834867242258,8.861259
8.250132,8.160536962910555,8.947069
